
  x              y             z     Side   Disk    Ring   Module
-0.286587      21.3785      -175.6     1      9      4      12
-3.78701      18.1217      -174.8     1      9      4      13
-6.20817      17.6765      -175.6     1      9      4      14
-6.79843      19.9793      -175.6     1      9      4      14
-9.60328      14.8093      -174.8     1      9      4      15
-9.35735      17.4607      -174.8     1      9      4      15
-9.60819      19.0271      -174.8     1      9      4      15
-12.546      14.372      -175.6     1      9      4      16
-12.5313      14.4116      -175.6     1      9      4      16
-12.5215      14.4377      -175.6     1      9      4      16
-12.5217      15.9633      -175.6     1      9      4      16
-9.61966      14.8967      -175.6     1      9      4      16
-13.3496      14.8822      -174.8     1      9      4      17
-13.5869      15.4313      -174.8     1      9      4      17
-17.4694      12.5479      -175.6     1      9      4      18
-15.9107      12.0073      -175.6     1      9      4      18
-15.8608      12.3246      -175.6     1      9      4      18
-15.3916      12.5892      -175.6     1      9      4      18
-19.376      9.03198      -174.8     1      9      4      19
-18.6073      9.72957      -174.8     1      9      4      19
-18.3807      10.3115      -174.8     1      9      4      19
-18.711      6.5857      -175.6     1      9      4      20
-18.9032      6.95857      -175.6     1      9      4      20
-21.3039      3.98837      -174.8     1      9      4      21
-17.649      3.83455      -174.8     1      9      4      21
-21.6465      0.750006      -175.6     1      9      4      22
-19.8118      1.14185      -175.6     1      9      4      22
-20.1068      -1.38152      -174.8     1      9      4      23
-21.4887      -1.41227      -174.8     1      9      4      23
-21.5537      -1.39975      -174.8     1      9      4      23
-17.9658      -3.6024      -175.6     1      9      4      24
-20.125      -3.3634      -175.6     1      9      4      24
-17.5668      -8.24977      -174.8     1      9      4      25
-18.2329      -7.9823      -174.8     1      9      4      25
-20.3709      -6.94825      -174.8     1      9      4      25
-18.8796      -10.4215      -175.6     1      9      4      26
-17.4802      -8.38851      -175.6     1      9      4      26
-16.5074      -13.7829      -174.8     1      9      4      27
-14.1376      -11.0705      -174.8     1      9      4      27
-10.0481      -14.4009      -174.8     1      9      4      29
-8.26958      -16.9206      -175.6     1      9      4      30
-9.07355      -18.1655      -175.6     1      9      4      30
-10.1089      -18.8678      -175.6     1      9      4      30
-9.69407      -17.8966      -175.6     1      9      4      30
-10.2248      -18.8274      -175.6     1      9      4      30
-10.3851      -17.7817      -175.6     1      9      4      30
-9.89194      -16.1118      -175.6     1      9      4      30
-8.47825      -18.6997      -174.8     1      9      4      31
-3.11      -20.841      -175.6     1      9      4      32
-3.65167      -20.4756      -175.6     1      9      4      32
-4.26559      -20.1444      -175.6     1      9      4      32
-4.26679      -20.0712      -175.6     1      9      4      32
-4.38983      -19.1162      -175.6     1      9      4      32
-4.45038      -18.9699      -175.6     1      9      4      32
-0.912966      -18.7341      -174.8     1      9      4      33
-3.11979      -20.7543      -174.8     1      9      4      33
2.88422      -17.3157      -175.6     1      9      4      34
2.23571      -20.4847      -175.6     1      9      4      34
1.80448      -20.9274      -175.6     1      9      4      34
3.59925      -17.7616      -174.8     1      9      4      35
8.6635      -19.7312      -175.6     1      9      4      36
7.3435      -16.1997      -175.6     1      9      4      36
6.90073      -18.5828      -175.6     1      9      4      36
6.86659      -18.5742      -175.6     1      9      4      36
9.89444      -15.9393      -174.8     1      9      4      37
9.90799      -16.468      -174.8     1      9      4      37
8.68379      -15.1859      -174.8     1      9      4      37
7.68681      -16.4546      -174.8     1      9      4      37
13.1317      -16.1195      -175.6     1      9      4      38
11.3985      -14.6031      -175.6     1      9      4      38
15.526      -13.1589      -174.8     1      9      4      39
15.3408      -10.4464      -175.6     1      9      4      40
14.3207      -10.3223      -175.6     1      9      4      40
15.5824      -13.2311      -175.6     1      9      4      40
15.8359      -7.61877      -174.8     1      9      4      41
19.2363      -7.01079      -175.6     1      9      4      42
19.3982      -8.61074      -175.6     1      9      4      42
19.5083      -4.06468      -174.8     1      9      4      43
20.7648      -4.63006      -174.8     1      9      4      43
19.3748      -0.51484      -175.6     1      9      4      44
20.812      -0.910461      -175.6     1      9      4      44
22.5345      0.120337      -175.2     1      9      5      1
23.4718      3.00239      -175.2     1      9      5      1
23.2713      3.35063      -174.4     1      9      5      2
23.5511      5.27958      -174.4     1      9      5      2
20.4134      5.42862      -175.2     1      9      5      3
20.1921      7.48208      -175.2     1      9      5      3
21.3869      9.30676      -174.4     1      9      5      4
20.6452      10.607      -174.4     1      9      5      4
18.2555      11.3696      -175.2     1      9      5      5
15.6957      15.0216      -174.4     1      9      5      6
11.1807      19.0078      -174.4     1      9      5      8
11.2494      19.0782      -175.2     1      9      5      9
10.9698      19.9305      -175.2     1      9      5      9
9.7714      21.2247      -175.2     1      9      5      9
7.98046      20.4881      -174.4     1      9      5      10
6.17359      21.0592      -174.4     1      9      5      10
5.20262      21.9842      -175.2     1      9      5      11
4.49634      21.5939      -175.2     1      9      5      11
3.89715      24.612      -175.2     1      9      5      11
1.60883      21.9888      -174.4     1      9      5      12
1.54735      21.4101      -174.4     1      9      5      12
1.15154      23.4828      -174.4     1      9      5      12
-0.298313      21.5421      -175.2     1      9      5      13
-2.96401      23.8957      -175.2     1      9      5      13
-3.466      23.7179      -174.4     1      9      5      14
